2020-11-11 10:08:01,320 [Client thread] INFO GottschCore | VersionChecker.java:110 | [dungeons2] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-Dungeons2/master/Dungeons2-1.12.2/update.json
2020-11-11 15:28:42,985 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:42,989 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:42,992 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:42,997 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:43,001 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:43,024 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:43,025 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:43,026 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:43,028 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:43,029 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:43,033 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:43,034 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:43,035 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:43,035 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:43,036 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:43,040 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:43,041 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:43,042 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:43,044 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:43,046 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:43,049 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:43,050 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:43,051 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:43,052 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:43,053 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:43,057 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:43,057 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:43,058 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:43,059 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:43,060 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:28:47,815 [Client thread] INFO GottschCore | VersionChecker.java:110 | [gottschcore] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-GottschCore/master/GottschCore1.12.2/update.json
2020-11-11 15:28:47,925 [Client thread] INFO GottschCore | VersionChecker.java:110 | [dungeons2] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-Dungeons2/master/Dungeons2-1.12.2/update.json
2020-11-11 15:41:08,242 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:41:08,246 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:41:08,249 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:41:08,252 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:41:08,255 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:41:08,280 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:41:08,280 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:41:08,281 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:41:08,282 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:41:08,282 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:41:08,286 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:41:08,286 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:41:08,287 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:41:08,287 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:41:08,288 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:41:08,291 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:41:08,292 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:41:08,293 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
2020-11-11 15:41:08,293 [Client thread] ERROR GottschCore | LootTableMaster.java:207 | is file system loot table current -> true
